NAME,ENTRY TIME,EXIT TIME
Linda,12:24:04,Entry
Linda,12:24:04,12:24:12,Exit
Linda,12:24:04,12:24:16,Exit
Linda,12:24:04,12:24:20,Exit
Linda,12:43:08,Entry
Linda,12:43:08,12:43:18,Exit
Linda,12:46:55,Entry
Linda,12:46:55,12:46:59,Exit
Linda,13:28:34,Entry
Linda,13:28:34,13:28:40,Exit
Linda,13:28:34,13:28:45,Exit
Linda,13:28:34,13:29:09,Exit
Linda,13:28:34,13:30:15,Exit
Elon Musk,13:34:50,Entry
Linda,13:35:00,Entry
Elon Musk,13:49:22,Entry
Elon Musk,13:49:22,13:49:27,Exit
Linda,13:49:33,Entry
Linda,13:59:46,Entry,Kanayannur
Elon Musk,14:00:22,Entry,Kanayannur
Linda,13:59:46,14:00:54,Exit,Kanayannur
Linda,13:59:46,14:01:25,Exit,Kanayannur
Linda,13:59:46,14:01:56,Exit,Kanayannur
Linda,13:59:46,14:02:27,Exit,Kanayannur
Linda,13:59:46,14:03:01,Exit,Kanayannur
Linda,14:05:00,Entry,Kanayannur
Linda,14:05:00,14:05:12,Exit,Kanayannur
Linda,14:07:17,Entry,Kanayannur
Linda,14:07:17,14:07:30,Exit,Kanayannur
Elon Musk,14:07:37,Entry,Kanayannur
Linda,14:07:17,14:07:47,Exit,Kanayannur
Linda,14:13:14,Entry,"Kanayannur, Kerala, IN (9.9667,76.2667)"
Linda,14:21:08,Entry,"Kanayannur, Kerala, IN (9.9667,76.2667)"
