NAME,ENTRY TIME,EXIT TIME
Linda,15:45:01,Entry
Linda,15:45:01,15:45:12,Exit
Linda,15:47:27,Entry
Linda,15:47:27,15:47:39,Exit
Linda,16:06:32,Entry
Linda,16:06:32,16:06:42,Exit
Linda,16:06:32,16:07:13,Exit
Linda,16:09:35,Entry
Linda,16:09:35,16:09:42,Exit
Linda,16:12:09,Entry
Linda,16:12:09,16:12:19,Exit
Mammootty,16:21:45,Entry
Mammootty,16:21:45,16:21:52,Exit
Elon Musk,16:28:06,Entry
Elon Musk,16:28:06,16:28:13,Exit
Elon Musk,16:45:11,Entry
Elon Musk,16:45:11,16:45:18,Exit
Elon Musk,16:46:27,Entry
Linda,17:07:09,Entry
Linda,17:07:09,17:07:22,Exit
Elon Musk,17:08:36,Entry
Elon Musk,17:08:36,17:08:44,Exit
